,fold,n_neighbors,algorithm,value,dataset
269,9,20,umap,0.95,COIL-20
270,0,40,umap,0.925,COIL-20
271,1,40,umap,0.8625,COIL-20
272,2,40,umap,0.9214285714285714,COIL-20
273,3,40,umap,0.95,COIL-20
274,4,40,umap,0.9071428571428571,COIL-20
275,5,40,umap,0.9071428571428571,COIL-20
276,6,40,umap,0.8571428571428571,COIL-20
277,7,40,umap,0.9071428571428571,COIL-20
278,8,40,umap,0.9142857142857143,COIL-20
279,9,40,umap,0.8928571428571429,COIL-20
280,0,80,umap,0.85625,COIL-20
281,1,80,umap,0.85625,COIL-20
282,2,80,umap,0.9142857142857143,COIL-20
283,3,80,umap,0.9214285714285714,COIL-20
284,4,80,umap,0.95,COIL-20
285,5,80,umap,0.9142857142857143,COIL-20
286,6,80,umap,0.8928571428571429,COIL-20
287,7,80,umap,0.9071428571428571,COIL-20
288,8,80,umap,0.8928571428571429,COIL-20
289,9,80,umap,0.8857142857142857,COIL-20
290,0,160,umap,0.725,COIL-20
291,1,160,umap,0.7375,COIL-20
292,2,160,umap,0.8357142857142857,COIL-20
293,3,160,umap,0.8857142857142857,COIL-20
294,4,160,umap,0.9214285714285714,COIL-20
295,5,160,umap,0.8142857142857143,COIL-20
296,6,160,umap,0.7285714285714285,COIL-20
297,7,160,umap,0.75,COIL-20
298,8,160,umap,0.7857142857142857,COIL-20
299,9,160,umap,0.8428571428571429,COIL-20
