,fold,n_neighbors,algorithm,value,dataset
451,11,1600,pca,0.5462857142857143,F-MNIST
452,12,1600,pca,0.5602857142857143,F-MNIST
453,13,1600,pca,0.5562857142857143,F-MNIST
454,14,1600,pca,0.5505714285714286,F-MNIST
455,15,1600,pca,0.548,F-MNIST
456,16,1600,pca,0.5642857142857143,F-MNIST
457,17,1600,pca,0.5411428571428571,F-MNIST
458,18,1600,pca,0.5534285714285714,F-MNIST
459,19,1600,pca,0.5511428571428572,F-MNIST
460,0,3200,pca,0.5354285714285715,F-MNIST
461,1,3200,pca,0.5411428571428571,F-MNIST
462,2,3200,pca,0.5251428571428571,F-MNIST
463,3,3200,pca,0.524,F-MNIST
464,4,3200,pca,0.5337142857142857,F-MNIST
465,5,3200,pca,0.526,F-MNIST
466,6,3200,pca,0.5165714285714286,F-MNIST
467,7,3200,pca,0.5282857142857142,F-MNIST
468,8,3200,pca,0.5294285714285715,F-MNIST
469,9,3200,pca,0.5508571428571428,F-MNIST
470,10,3200,pca,0.536,F-MNIST
471,11,3200,pca,0.5251428571428571,F-MNIST
472,12,3200,pca,0.5457142857142857,F-MNIST
473,13,3200,pca,0.5345714285714286,F-MNIST
474,14,3200,pca,0.5325714285714286,F-MNIST
475,15,3200,pca,0.5348571428571428,F-MNIST
476,16,3200,pca,0.5482857142857143,F-MNIST
477,17,3200,pca,0.5257142857142857,F-MNIST
478,18,3200,pca,0.5374285714285715,F-MNIST
479,19,3200,pca,0.5325714285714286,F-MNIST
480,0,100,tsne,0.8197142857142857,F-MNIST
481,1,100,tsne,0.8208571428571428,F-MNIST
482,2,100,tsne,0.8114285714285714,F-MNIST
483,3,100,tsne,0.8211428571428572,F-MNIST
484,4,100,tsne,0.8114285714285714,F-MNIST
485,5,100,tsne,0.8188571428571428,F-MNIST
486,6,100,tsne,0.8205714285714286,F-MNIST
487,7,100,tsne,0.8245714285714286,F-MNIST
488,8,100,tsne,0.822,F-MNIST
489,9,100,tsne,0.8234285714285714,F-MNIST
490,10,100,tsne,0.8322857142857143,F-MNIST
491,11,100,tsne,0.8217142857142857,F-MNIST
492,12,100,tsne,0.8197142857142857,F-MNIST
493,13,100,tsne,0.818,F-MNIST
494,14,100,tsne,0.8148571428571428,F-MNIST
495,15,100,tsne,0.8134285714285714,F-MNIST
496,16,100,tsne,0.8094285714285714,F-MNIST
497,17,100,tsne,0.8131428571428572,F-MNIST
498,18,100,tsne,0.8134285714285714,F-MNIST
499,19,100,tsne,0.8097142857142857,F-MNIST
500,0,200,tsne,0.8074285714285714,F-MNIST
501,1,200,tsne,0.8177142857142857,F-MNIST
502,2,200,tsne,0.8082857142857143,F-MNIST
503,3,200,tsne,0.8114285714285714,F-MNIST
504,4,200,tsne,0.8014285714285714,F-MNIST
505,5,200,tsne,0.8108571428571428,F-MNIST
506,6,200,tsne,0.806,F-MNIST
507,7,200,tsne,0.8117142857142857,F-MNIST
508,8,200,tsne,0.8117142857142857,F-MNIST
509,9,200,tsne,0.8177142857142857,F-MNIST
510,10,200,tsne,0.8228571428571428,F-MNIST
511,11,200,tsne,0.8165714285714286,F-MNIST
512,12,200,tsne,0.814,F-MNIST
513,13,200,tsne,0.8128571428571428,F-MNIST
514,14,200,tsne,0.8085714285714286,F-MNIST
515,15,200,tsne,0.8045714285714286,F-MNIST
516,16,200,tsne,0.7985714285714286,F-MNIST
517,17,200,tsne,0.8051428571428572,F-MNIST
518,18,200,tsne,0.8051428571428572,F-MNIST
519,19,200,tsne,0.8011428571428572,F-MNIST
520,0,400,tsne,0.796,F-MNIST
521,1,400,tsne,0.806,F-MNIST
522,2,400,tsne,0.8005714285714286,F-MNIST
523,3,400,tsne,0.8037142857142857,F-MNIST
524,4,400,tsne,0.7911428571428571,F-MNIST
525,5,400,tsne,0.8051428571428572,F-MNIST
526,6,400,tsne,0.8025714285714286,F-MNIST
527,7,400,tsne,0.8042857142857143,F-MNIST
528,8,400,tsne,0.8034285714285714,F-MNIST
529,9,400,tsne,0.8031428571428572,F-MNIST
530,10,400,tsne,0.8188571428571428,F-MNIST
531,11,400,tsne,0.8037142857142857,F-MNIST
532,12,400,tsne,0.8065714285714286,F-MNIST
533,13,400,tsne,0.7962857142857143,F-MNIST
534,14,400,tsne,0.8057142857142857,F-MNIST
535,15,400,tsne,0.798,F-MNIST
536,16,400,tsne,0.7954285714285714,F-MNIST
537,17,400,tsne,0.7962857142857143,F-MNIST
538,18,400,tsne,0.7931428571428571,F-MNIST
539,19,400,tsne,0.7937142857142857,F-MNIST
540,0,800,tsne,0.7842857142857143,F-MNIST
541,1,800,tsne,0.7925714285714286,F-MNIST
542,2,800,tsne,0.784,F-MNIST
543,3,800,tsne,0.7882857142857143,F-MNIST
544,4,800,tsne,0.7765714285714286,F-MNIST
545,5,800,tsne,0.786,F-MNIST
546,6,800,tsne,0.7868571428571428,F-MNIST
547,7,800,tsne,0.784,F-MNIST
548,8,800,tsne,0.7862857142857143,F-MNIST
549,9,800,tsne,0.79,F-MNIST
550,10,800,tsne,0.7957142857142857,F-MNIST
551,11,800,tsne,0.7888571428571428,F-MNIST
552,12,800,tsne,0.7825714285714286,F-MNIST
553,13,800,tsne,0.7877142857142857,F-MNIST
554,14,800,tsne,0.7831428571428571,F-MNIST
555,15,800,tsne,0.7785714285714286,F-MNIST
556,16,800,tsne,0.7765714285714286,F-MNIST
557,17,800,tsne,0.7805714285714286,F-MNIST
558,18,800,tsne,0.7774285714285715,F-MNIST
559,19,800,tsne,0.7768571428571428,F-MNIST
560,0,1600,tsne,0.754,F-MNIST
561,1,1600,tsne,0.762,F-MNIST
562,2,1600,tsne,0.7537142857142857,F-MNIST
563,3,1600,tsne,0.7614285714285715,F-MNIST
564,4,1600,tsne,0.7442857142857143,F-MNIST
565,5,1600,tsne,0.756,F-MNIST
566,6,1600,tsne,0.7562857142857143,F-MNIST
567,7,1600,tsne,0.748,F-MNIST
568,8,1600,tsne,0.76,F-MNIST
569,9,1600,tsne,0.7597142857142857,F-MNIST
570,10,1600,tsne,0.7562857142857143,F-MNIST
571,11,1600,tsne,0.7577142857142857,F-MNIST
572,12,1600,tsne,0.7545714285714286,F-MNIST
573,13,1600,tsne,0.7565714285714286,F-MNIST
574,14,1600,tsne,0.7511428571428571,F-MNIST
575,15,1600,tsne,0.746,F-MNIST
576,16,1600,tsne,0.7542857142857143,F-MNIST
577,17,1600,tsne,0.75,F-MNIST
578,18,1600,tsne,0.7417142857142857,F-MNIST
579,19,1600,tsne,0.7497142857142857,F-MNIST
580,0,3200,tsne,0.7211428571428572,F-MNIST
581,1,3200,tsne,0.7414285714285714,F-MNIST
582,2,3200,tsne,0.7257142857142858,F-MNIST
583,3,3200,tsne,0.728,F-MNIST
584,4,3200,tsne,0.73,F-MNIST
585,5,3200,tsne,0.7202857142857143,F-MNIST
586,6,3200,tsne,0.7248571428571429,F-MNIST
587,7,3200,tsne,0.7242857142857143,F-MNIST
588,8,3200,tsne,0.732,F-MNIST
589,9,3200,tsne,0.7285714285714285,F-MNIST
590,10,3200,tsne,0.7251428571428571,F-MNIST
591,11,3200,tsne,0.7388571428571429,F-MNIST
592,12,3200,tsne,0.7274285714285714,F-MNIST
593,13,3200,tsne,0.7257142857142858,F-MNIST
594,14,3200,tsne,0.7282857142857143,F-MNIST
595,15,3200,tsne,0.7268571428571429,F-MNIST
596,16,3200,tsne,0.7231428571428572,F-MNIST
597,17,3200,tsne,0.724,F-MNIST
598,18,3200,tsne,0.7222857142857143,F-MNIST
599,19,3200,tsne,0.722,F-MNIST
600,0,100,umap,0.7948571428571428,F-MNIST
601,1,100,umap,0.8011428571428572,F-MNIST
602,2,100,umap,0.7837142857142857,F-MNIST
