,fold,n_neighbors,algorithm,value,dataset
603,3,100,umap,0.965458178703968,MNIST
604,4,100,umap,0.9663049685893775,MNIST
605,5,100,umap,0.969437303627535,MNIST
606,6,100,umap,0.9697229363039132,MNIST
607,7,100,umap,0.9634390174235933,MNIST
608,8,100,umap,0.9662953441873751,MNIST
609,9,100,umap,0.9662953441873751,MNIST
610,10,100,umap,0.966,MNIST
611,11,100,umap,0.9674285714285714,MNIST
612,12,100,umap,0.966,MNIST
613,13,100,umap,0.9562607204116638,MNIST
614,14,100,umap,0.967409948542024,MNIST
615,15,100,umap,0.965980560320183,MNIST
616,16,100,umap,0.9782670860737775,MNIST
617,17,100,umap,0.9525171624713958,MNIST
618,18,100,umap,0.9665236051502146,MNIST
619,19,100,umap,0.9856938483547926,MNIST
620,0,200,umap,0.969472182596291,MNIST
621,1,200,umap,0.9700342465753424,MNIST
622,2,200,umap,0.9623287671232876,MNIST
623,3,200,umap,0.9651727091064801,MNIST
624,4,200,umap,0.9663049685893775,MNIST
625,5,200,umap,0.969437303627535,MNIST
626,6,200,umap,0.9697229363039132,MNIST
627,7,200,umap,0.9634390174235933,MNIST
628,8,200,umap,0.9662953441873751,MNIST
629,9,200,umap,0.9665809768637532,MNIST
630,10,200,umap,0.966,MNIST
631,11,200,umap,0.9674285714285714,MNIST
632,12,200,umap,0.9657142857142857,MNIST
633,13,200,umap,0.9562607204116638,MNIST
634,14,200,umap,0.9676958261863923,MNIST
635,15,200,umap,0.9656946826758147,MNIST
636,16,200,umap,0.9782670860737775,MNIST
637,17,200,umap,0.9525171624713958,MNIST
638,18,200,umap,0.9668097281831187,MNIST
639,19,200,umap,0.9856938483547926,MNIST
640,0,400,umap,0.9689015691868759,MNIST
641,1,400,umap,0.9700342465753424,MNIST
642,2,400,umap,0.9620433789954338,MNIST
643,3,400,umap,0.9651727091064801,MNIST
644,4,400,umap,0.9663049685893775,MNIST
645,5,400,umap,0.969437303627535,MNIST
646,6,400,umap,0.9697229363039132,MNIST
647,7,400,umap,0.9625821193944587,MNIST
648,8,400,umap,0.9660097115109969,MNIST
649,9,400,umap,0.9660097115109969,MNIST
650,10,400,umap,0.9662857142857143,MNIST
651,11,400,umap,0.9662857142857143,MNIST
652,12,400,umap,0.966,MNIST
653,13,400,umap,0.9562607204116638,MNIST
654,14,400,umap,0.9676958261863923,MNIST
